Аария Лайфсайнсиз Пвт. Лтд., Индия
Пьерр Роллан, Франция
Р. Аш. Лабораториез, Индия
Равимед, ЗАО, Польша
Радикьюра Фармасьютикелз Пвт. Лтд, Индия
Радиопрепарат- Институт ядерной физики, АН Республика Узбекистан
Ранбакси Лабораториз Лтд., Индия
"Ратиофарм Интернешнл ГмбХ/ОАО ""Гедеон Рихтер""/Меркле ГмбХ, Германия/Венгрия/Германия"
"Рафтон Лабораториз Лтд для ""ГлаксоСмитКлайн Консьюмер Хелскер"", Великобритания"
"Рафтон Лабораториз Лтд для ""Проктер энд Гембл Интернешнл"", Великобритания/Швейцария"
Реанал, Венгрия
Реккитт Бенкизер Хелскер Лтд., Великобритания
Рекордати Индастриа Химика э Фармасевтика С.п.А., Италия/Ирландия
"Рекордати Индустриа Кимика э Фармачеутика С.п.А. для ""Менарини Интернешонал"", Италия/Люксембург"
"Ремедика, ООО для ""Гриндекс, АО"", Кипр/Латвия"
Ресинаг АГ, Швейцария
"Ресифарм Карлскога АБ для ""АстраЗенека АБ"", Швеция"
"Рецифарм Паретс С.Л. для ""Аббот Хелскеа С.А.Ю"", Испания"
"Рецифарм Фонтен для ""Лаб. Фурнье С.А."" , Франция"
"Ривофарм, СА для ""Ротафарм Лтд"", Швейцария/Большая Британия"
"Риемсер Спесиалти Продакшн ГмбХ для ""Верваг Фарма ГмбХ и Ко. КГ"", Германия"
"Римзер Спешиалти Продакшн ГмбХ для ""Медице Фарма ГмбХ"", Германия"
Рихард Биттнер АГ, Австрия
Ровенская областная станция переливания крови, Украина
"Ромфарм Компани С.Р.Л. для ""Ротафарм Лтд"", Румыния/Большая Британия"
"Ромфарм Компани С.Р.Л. для ""Уорлд Медицин Офтальмикс"", Румыния/Большая Британия"
Росбио, ООО, Российская Федерация
Росс Роббинс, Индия
"Российский кардиологический НПК Росздрава, ФГУ для ""Нижфарм, ОАО"", Российская Федерация"
Российский кардиологический НПК Росздрава, ФГУ, Российская Федерация
Роттафарм С.п.а, Италия
Роттендорф Фарма ГмбХ, Германия
"Роттендорф Фарма ГмбХ/ Санофи-Авентис для ""Зентива, ООО"", Германия/Польша/Чешская Республика"
"Рош Диагностик ГмбХ для ""Хоффманн-Ля Рош Лтд."", Германия/Швейцария"
"Рош С.п.А. для ""Ф.Хоффманн-Ля Рош Лтд."", Италия/Швейцария"
"Рош Фарма С.А. для ""Байер Консьюмер"", Испания/Швейцария"
Русан Фарма Лтд, Индия
"Русан Фарма Лтд. для ""Ратиофарм Индия Пвт. Лтд."", Индия"
Русичи-Фарма, ООО, Российская Федерация
"Сава Хелскеа Лтд для заявителя ""Мови Хелс ГмбХ"", Индия/Швейцария"
Сагмел, Инк., США
Сайнтек, ЗАО, Санкт-Петербург, Россия
Сайпер Фарма, Индия
Салютас Фарма ГмбХ, Германия
"Самруд Фармасьютикалз Пвт. Лтд. для ""Кей Джи Пи Лаб. (Ю кей) Лтд"", Индия/Великобритания"
"Самруд Фармасьютикалз Пвт. Лтд. для ""М. Биотек Лтд."", Индия/Великобритания"
Сан Фармасьютикал Индастриз Лтд, Индия
Сандоз ГмбХ, Австрия
"Сандоз Групп Саглик Урунлери Илачлари Санайи ве Тиджарет для ""Дева Холдинг, ОАО"", Турция"
Сандоз Илак Санай ве Тикарет А.С., Турция/Словакия
Сандоз Прайвит Лтд, Индия/Словения
"Сандоз Прайвит Лтд., комп. групп ""Новартис"", Индия/Швейцария"
Сандоз С.Р.Л., Румыния/Словения
Сандоз Фармасьютикелз д.д., Словения
"Санико Н.В. для ""Тиботек Фарма"", Бельгия/Ирландия"
"Санитас, АТ для ""Валеант Фармасьютикалз"", Україна/Литва"
"Санитас, АТ для ""Ельфа, Фармзавод, АО"", Литва/Польша"
Санкт-Петербургский НИИВС, ФГУП, Российская Федерация
Сановель Иляч Санаи ве Тиджарет А.Ш., Турция
"Санофи Винтроп Индастриа для ""Зентива, ООО"", Франция/Чешская Республика"
"Санофи Винтроп Индастриа для ""Санофи Фарма Бристоль-Майерс Сквибб СНСИ"", Франция"
"Санофи Винтроп Индастриа для ""Санофи-Авентис Украина,ООО"", Франция/Украина"
"Санофи Индия Лтд для ""Санофи-Авентис Украина, ООО"", Индия/Украина"
Санофи Пастер lнк., США
Санофи Пастер Лтд, Канада/Франция
Санофи Пастер С.А., Франция
"Санофи-Авентис Дойчланд ГмбХ для ""Санофи-Авентис Украина, ООО"", Германия/Украина"
"Санофи-Авентис С.п.А. для ""Санофи-Авентис Украина, ООО"", Италия/Украина,"
"Санофи-Синтелабо Лтд для ""Санофи-Авентис Украина, ООО"", Великобритания/Украина"
Санофи-Синтелабо Лтд., Великобритания
Санохемиa Фармацевтика АГ, Австрия
Сантен АО, Финляндия
Санум-Кельбек ГмбХ Ко КГ, Германия
Сарепта, ПТФ, ООО, г.Донецк, Украина
Свердловская областная региональная станция переливания крови, Украина
Свизера Лабс Прайвет Лтд, Индия
СвиссКо Сервисез АГ/РАД Неурим Фармасьютикалс ЭЭС Лтд, Швейцария/Соединенное Королевство
СвиссКо Сервисез АГ/ЮС Фармация, ООО, Швейцария/Польша
Свитанок, Фирма, Украина
Севафарма а.с., Чешская Республика
Северодонецкое объединение азот, ПАО, Украина, Луганская обл.
Сектор газа, ООО, г.Черновцы, Украина
Селл Биотек Ко. Лтд, Корея
"Сенекси/Лаб. Леон Фарма, С.А, для ""Гедеон Рихтер, ОАО"", Франция/Испания"
Сенс Лтд, ПКФ, ООО, Винницкий р-н., с. Якушенцы, Украина
Сентрал Фармасьютикал Джоинт Сток Компани №25, Вьетнам
Септодонт, Франция
Септокор Б.В., Нидерланды
Серб С.А., Франция
Серум Инститьют Лтд, Индия
"Серумверк Бернбург АГ для ""Юрия-Фарм"", Германия/Украина"
СИГМА Фармасьютикал Индастриз, Египет
Сигма-Тау Индустриэ Фармачеутике Риуните С.п.А., Италия
Сикомед С.А., Румыния
"Сикор Биотех, ЗАО, для ""ТЕВА Фармацевтикал Индастриз Лтд"", Литва/Израиль"
"Силаг АГ для ""Джонсон & Джонсон"", Швейцария/Российская Федерация"
СимбиоФарм ГмбХ, Германия
Симпекс Фарма Пвт. Лтд., Индия
"Синдан Фарма СРЛ для ""Актавис групп"", Румыния/Исландия"
"Синком Формулейшен Лтд. для ""Вокхард Лтд."", Индия"
"Синмедик Лабораториз для "" Юнилаб ЛП"", Индия/США"
"Синмедик Лабораториз для ""Сана+ Медикал ГмбХ"", Индия/Швейцария"
"Синмедик Лабораториз для ""Синмедик Лтд, ООО"", Индия/Украина"
"Синмедик Лабораториз для заявителя ""Мови Хелс"", Индия/Швейцария"
Синмедик Лабораториз, Индия
"Синмедик Лабораториз/Майлан Лаб. Лтд. для ""Органосин Лайф Саенсиз Пвт. Лтд"", Индия"
Синмедик Лабораториз/Органосин Лайф Саенсиз Пвт. Лтд., Индия
Синтез, ОАО, Российская Федерация
"Синтон Испания С.Л. для ""Актавис групп АО"", Испания/Исландия"
"Сиртон Фармасьютикалс С.П.А. для ""Десма ДжмбЭйч"", Италия/Германия"
СиТиЭс Лтд, Израиль
"СИФИ, С.п.А. для ""Шеринг-Плау Сентрал Ист АГ"", Италия/Швейцария"
Сквэа Фармасьютикалз Лтд, Бангладеш
Скотт - Эдил Фармация Лтд., Индия
"Славия 2000, ООО для ""Украинская фармацевтическая компания, ООО"", г.Киев, Украина"
Славия 2000, ООО, г.Кировоград, Украина
"Славия Фарм С.Р.Л., К.О. для ""Уорлд Медицин Лтд"", Румыния/Большая Британия"
Словакофарма д.с.к, Словацкая Республика
"СМБ Технолоджи С.А. для ""Ядран-Галенская Лаб."", Бельгия/Хорватия"
СмитКляйн Бичем С.А., Испания
СмитКляйн Бичем Фарма, Великобритания
СмитКляйн Бичем Фарма, Великобритания/Франция
Солко Базель П.З., Польша
"Солюфарм ГмбХ для ""Дельта Селект ГмбХ"", Германия"
"Солюфарм Фармацойтише Эрцойгниссе ГмбХ для ""Верваг Фарма ГмбХ и Ко. КГ"", Германия"
Сотекс, ФФ ЗАО, г.Москва, Российская Федерация
"Софаримекс для ""Санофи-Авентис Украина, ООО"", Португалия/Украина"
"Софаримекс/Лаб. Лабесфаль для ""Профарма Интернешнл Трейдинг"", Португалия/Мальта"
Софарма, АО, Болгария
"Софартекс для ""Аббот Лабораториз ГмбХ"", Франция/Германия"
"Софартекс для ""Лаб. Бушара-Рекордати"", Франция"
"Софтгель Хелс Кере Пвт. Лтд. для ""Америкен Нортон Корп."", Индия/США"
"Софтгель Хелс Кере Пвт. Лтд. для ""М-Инвест Лтд"", Индия/Кипр"
Социэта Продотти Антибиотици С.п.А, Италия
"Сперко Украина, СУИП для ""Эрсель Фарма Украина, ООО"", г.Винница, Украина"
Сперко Украина, СУИП, г.Винница, Украина
"Специал Продуктъс Лайн С.п.А. для ""Евро-Фарма СРЛ"", Италия"
СТАДА Арцнаймиттель АГ, Германия
Стадкем оф Индия, Индия
Статенс Серум Институт, Дания
СТД Фармасьютикел Продактс Лтд., Большая Британия
Стедман Фармасьютикалз Пвт.Лтд., Индия
Стиролбиофарм, ООО, Донецкая обл., г.Горловка, Украина
Стифел Лабораториз Лтд., Ирландия
Стома, АО, г.Харьков, Украина
Страйдес Арколаб Лтд, Индия
Сумское машиностроительное НПО, ООО, г.Сумы, Украина
"Сурья Хербел Лтд для ""Америкен Нортон Корпорейшин"", Индия/США"
"Сурья Хербел Лтд для ""Мили Хелскере Лтд."", Индия/Великобритания"
Т.С.Б. Фирма, ООО, г.Трускавец, Львовская обл, Украина
Табук Фармасьютикал Манюфекчуринг Ко, Королевство Саудовской Аравии
ТАД Фарма ГмбХ, Германия
"Такеда Австрия ГмбХ для ""Такеда Украина, ООО"", Австрия/Украина"
Такеда Австрия Гмбх, Австрия
Такеда Глобал Рисерч энд Девелопмент Сентрэ Лтд, Большая Британия
Такеда Гмбх, Германия
Такеда Фармасьютикал Компани Лтд, Осака Плант, Япония/США
Талион-А, ООО, г.Москва, Российская Федерация
"Таллинский ФЗ, АО для ""Гриндекс, АО"", Эстония/Латвия"
Татхимфармпрепараты, ОАО, г.Казань, Российская Федерация
Твайлайт Литака Фарма Лтд, Индия
ТЕВА КУТНО, АО, Польша
Тева Оперейшнз Поланд, ООО, Польша/Израиль
Тева Фарма Б.В., Нидерланды/Израиль
ТЕВА Фармацевтикал Индастриз Лтд, Израиль
ТЕВА Фармацевтикал Индастриз Лтд./ТЕВА ФЗ, АО, Израиль/Венгрия
ТЕВА Фармацевтикал Индастриз Лтд./ТЕВА ФЗ, АО, Израиль/Венгрия/Большая Британия
ТЕВА Фармацевтический завод, АО, Венгрия
ТЕВА Фармацевтический завод, АО, Венгрия/Нидерланды/Израиль
Тева Чех Индастриз с.р.о./ТЕВА Фармацевтикал Индастриз, Чешская Республика/Израиль
"Тедек-Мейхи Фарма, С.А. для ""Сперко Украина СУИП"", Испания/Украина"
"Тейка Фармасьютикал Ко Лтд, для ""Мефа Лтд"", Япония"
Темафарм Сп. з.о.о., Польша
"Темиз Медикеар Лтд/Винус Ремедис Лтд для ""М-Инвест Лтд"", Индия/Кипр"
"Темиз Медикеар Лтд/Мепро Фарма для ""М-Инвест Лтд"", Индия/Кипр"
Темис Медикаре Лтд, Индия
"Темис Медикаре Лтд. для ""Мили Хелскере Лтд"", Индия/Великобритания"
"Теммлер Верке ГмбХ для ""ФармаСвисс"", Германия/Чешская Республика"
"Теммлер Фарма ГмбХ энд Ко. КГ для ""Меда Фарма"", Германия"
"Терамекс для ""Эгис"", Монако/Венгрия"
Терапия С.А. и ЭтифармИндастриес, Румыния/Франция
"Терапия, АО для ""Ранбакси Лаб. Лтд"", Румыния/Индия"
Теребовлянская областная коммунальная станция переливания крови, Украина
Тернопольская областная коммунальна станция переливания крови, Украина
Тернопольская ФФ, ОАО, г.Тернополь, Украина
Тернофарм, ООО, г.Тернополь, Украина
"Терумо Пенпол Лтд для ""ТерумоЕвроп Н.В."", Индия/Бельгия"
Тетерев ЛВЗ, ООО, Киевская обл., пгт. Иванков, Украина
"Тетерев, ЛВЗ, ООО для ""Касмет, ООО"", Киевская обл., пгт. Иванков, Украина"
"Тетерев, ЛВЗ, ООО для ""Укрбиотехнология -ТМ, ООО"", Киевская обл., пгт. Иванков, Украина"
Техногаз, ПКП, ООО, г.Винница, Украина
Технолог ЧАО, г.Умань, Черкасская обл., Украина
Техномед, ООО, г.Донецк, Украина
Техномедсервис, ЗАО ФП, Российская Федерация
Технопарк-Центр, ООО, Российская Федерация
"Тиллотс Фарма АГ для ""Лаб. Экспансьенс"", Швейцария/Франция"
Тобиши Фарм. Ко. Лтд, Пекинская Фарм. Комп., Китай
Торнтон энд Росс Лтд, Великобритания
Торрекс Фарма ГмбХ, Австрия
"Торрент Фармасьютикалс Лтд для ""АстраЗенека ЮК Лтд"", Индия/Великобритания"
Торрент Фармасьютикалс Лтд, Индия
Трафако, Вьетнам
ТРБ Хемедика Интернешнл С.А., Аргентина/Швейцария
Трендс Фарма Пвт. Лтд., Индия
Трой Менюфекчурин Инк., США
Троммсдорфф ГмбХ, Германия
Тротх Фарма, Индия
ТТК Хелткер Лтд, Индия
Тубилюкс Фарма С.п.А. для МедаФарма ГмбХ, Италия/Германия
Тулип Лаб Прв. Лтд., Индия
Укрспирт, ЧП, Сумская обл., Конотопский р-н, пгт. Дубовязовка, Украина
Унимед Фарма, ООО, Словацкая Республика
Унифарм, АО, Болгария
Уния ФП, ТК, г. Варшава, Польша
Урсафарм Арцнаймиттель ГмбХ и Ко. КГ, Германия
Ф.Хоффманн-Ля Рош Лтд, Швейцария
"Фабиол С.А. для ""Озон Лаб."", Румыния/Великобритания"
"Файн Фудс энд Фарма Н.Т.М. С.П.А для ""Дельта Медикел Промоушнз АГ"", Италия/Швейцария"
"Факта Фармасьютичи С.п.А для ""Конарк Интелмед, ООО"", Италия/Украина"
"Фамар Легль для ""Аббот Лабораториз С.А."", Франция/Швейцария"
"Фамар Лион для ""Санофи-Авентис Украина, ООО"", Франция/Украина"
"Фамар Орлеан для ""МакНил Продактс Лтд"", Франция/Соединенное Королевство"
"Фамар С.А. для ""Байер Консьюмер Кер АГ"", Греция/Швейцария"
"Фамар Франция для ""Новартис Консьюмер Хелс С.А"", Франция/Швейцария"
"Фамар Хелс Кеар Сервісіз Мадрід для ""Санофі-Авентіс"", Іспанія/ Франція"
Фарбил Валтроп ГмбХ, Германия
"Фарбил Уолтроп ГмбХ для ""НекстФарма Технолоджис"", Германия/Великобритания"
Фарко, Египет
ФарКоС ФФ, ЧАО/Астрафарм, ООО, г.Киев, Украина
ФАРМА ВАМ, ЗАО, Российская Федерация
"Фарма Вернигероде ГмбХ для ""Эспарма ГмбХ"", Германия"
Фарма Интернешенал, Иордания
Фарма Лайф, ООО, г.Львов, Украина
Фарма Синт, Индия
Фарма Старт, ООО, г.Киев, Украина
Фарма-Винчи А/С, Дания
Фарма-Дерма С.Р.Л., Италия
"Фармак, ОАО для ""Зентива, АО"", г.Киев, Украина/Словацкая Республика"
Фармак, ОАО, г.Киев, Украина
Фармак, ОАО, совместно с Берна Биотек, Украина/Швейцария
"Фармак, ПАО для ""Инфамед, ООО"", Украина /Российская Федерация"
"Фармак, ПАО, г.Киев для ""Микрохим"" ООО, НПФ, г.Рубежное, Луганская обл."
Фармак, ПАО, г.Киев, Украина
"Фармак, ПАО, совместно с ""Лайф Саенсиз Лтд"".,Украина/Корея"
Фармакар Инт. Ко., Германско-Палестинске СП, Палестина
Фармаклер, Франция
Фармаклон, НПП, ООО, Росийская Федерация
Фармако, АО, Молдова
Фармакон, ОАО, Российская Федерация
"Фармамед, ООО для ""Микрохим"" ООО, НПФ, г.Рубежное, Луганская обл."
Фармапарк, ООО, Российская Федерация
Фармапол-Волга, ООО, Российская Федерация
Фармаприм, ООО, Молдова
Фармасайнс Инк., Канада
Фармасинтез, ОАО, Российская Федерация
"Фарматен С.А. для ""Актавис групп АО"", Греция/Исландия"
"Фарматен С.А. для ""Алвоген ИПКо С.ар.л."", Греция/Люксембург"
"Фарматен Фармасьютикс СА для ""Ратиофарм Интернешнл ГмбХ"", Греция/Германия"
"Фарматис для ""Астеллас Фарма Юроп Б.В."", Франция/Нидерланды"
"Фарматис для ""Санофи-Авентис Украина, ООО"", Франция/Украина"
Фарматрейд, ДП, г.Дрогобыч, Львовская обл., Украина
"Фармахеми Б.В. для ""ТЕВА Фарм."", Нидерланды/Израиль"
"Фармацевтика Парагвая С.А. для ""Толмар Корп."", Парагвай/Панама"
Фармацеутише Фабрик Монтавит ГмбХ, Австрия
"Фармация и Апджон Компани для ""Пфайзер Инк."", США"
"Фармацойтише Фабрик Монтавит ГесмбХ для ""Сандоз Фармасьютикалз д.д."", Австрия/Словения"
"Фармекс групп, ООО для ""Америкен Нортон Корпорейшн"", Украина/США"
"Фармекс групп, ООО для ""Юнитек Инк. Лтд."", Украина/Гонконг"
Фармекс групп, ООО, Украина
Фармекс групп, ООО/НВ Ремедиз Пвт. Лтд., Украина/Индия
Фарметикс Инк., Канада
"Фармидея, ООО для ""Рик-Фарм, ООО"", Латвия/Украина"
Фармила - Зеа Фармасеутичи С.п.а., Италия
Фармина Лтд, г. Краков, Польша
Фармнатур, ЗАО, г.Одесса, Украина
Фармос Ою, Финляндия
Фарм-Синтез, ЗАО, Российская Федерация
Фармсинтез, ОАО, Российская Федерация
Фармстандарт - Биолек, ПАО, г.Харьков, Украина
"Фармстандарт - Биолек, ПАО/Лекхим-Харьков, ПАО для ""Микрохим"" НПФ, ООО, Украина"
"Фармстандарт - Биолик, ПАО для ""Микрохим"" НПФ, ООО, Украина"
Фармстандарт-Лексредства, ОАО, Российская Федерация
Фармстандарт-Октябрь, ОАО, Российская Федерация
Фармстандарт-Томскхимфарм, ОАО, Российская Федерация
Фармстандарт-УфаВИТА, ОАО, г.Уфа, Российская Федерация
Фармстандарт-УфаВИТА, ОАО, г.Уфа, Российская Федерация
Фармтехнология, ООО, Республика Беларусь
Фарм-Холдинг, ООО, г.Киев, Украина
Фаэс Фарма С.А., Испания
Фаэс Фарма С.А./Лаб. Витория С.А. (Фаэс Групп), Португалия/Испания
"ФДС ЛТД для ""Евро Лайфкер Лтд "", Индия/Большая Британия"
"ФДС ЛТД для ""Органосин Лайф Саенсиз Пвт. Лтд."", Индия"
Фей Лун, ООО, Шеньянская компания здоровых продуктов , Китай
Фенвол Франсе САС, Франция/США
Фермент, ООО, Российская Федерация
Ферон, ООО, Российская Федерация
"Феррер Интернасиональ, С.А. для ""Лаб. Новаг С.А."", Испания"
Феррер Интернасиональ, С.А., Испания
Ферринг ГмбХ, Германия
Ферринг Интернешнл Сентер СА, Швейцария
Ферринг-Лечива а.с., Чешская Республика
Ферросан А/С, Дания
Фидиа Фармацевтика С.п.А., Италия
Фидофарм, Ориентал Фармасьютикал Корпорейшн 5, Вьетнам
"Финцельберг ГмбХ/Фитофарм Кленка С.А. для ""Эрсель Фарма Украина, ООО"" Германия/Польша/Ук раина"
Фирн М, ЗАО, Российская Федерация
ФИТО ФАРМА Ко. Лтд., ФК, Ветнам
Фитолик, ООО, г.Ивано-Франковск, Украина
Фитофарм Кленка С.А., Польша
Фитофарм, ПАО, г.Артемовск, Донецкая обл., Украина
"Фитофарм, ПАО/Луганская областная ""Фармация"" ФФ, КП для ""Экофарм, НПК, ООО "", Украина"
Фламинго Фармасьютикалс Лтд., Индия
"Флит Лаборатория Лтд для ""Дельта Медикел Промоушнз АГ"", Великобритания/Швейцария"
"Флит Лаборатория Лтд для ""Мерк Сероно С.А."", Великобритания/Швейцария"
Флумед-Фарм, ООО, Республика Молдова
Форест Лабораториз ЮК Лтд., Великобритания
Форест Тосара Лтд, Ирландия
Форифарм, ЦФАК №3, Вьетнам
Фортс Лабораториес Пвт. Лтд., Индия
Франчия Фармачеутичи Индустриа Фармако Биолоджика С.р.л., Италия
"Фрезениус Каби (Гуанчжоу) Ко. Лтд для ""Хельм Медикал ГмбХ"", Китай/Германия"
Фрезениус Каби ГмбХ, Австрия/Германия
Фрезениус Каби Дойчланд ГмбХ, Германия
"Фрезениус Каби Норге АС для ""Пфайзер Инк."", Норвегия/США"
Фрезениус Каби Онколоджи Лтд, Индия/Германия
Фрезениус Каби Франс, Франция/Германия
Фрезениус Медикал Кеа Дойчланд ГмбХ, Германия
Фри-Вест, ЧП, г.Хмельницкий, Украина
Фронто, ООО, Украина, г.Винница
Фросст Иберика, С.А./Мерк Шарп и Доум Б.В, Испания/Нидерланды
Х. Уриак и Сиа, С.А., Испания
ХайГланс Лабораториз Пвт. Лтд., Индия
"Хайтек Фармасьютикалз Пвт. Лтд для ""Мили Хелскер Лтд"", Индия/Великобритания"
Хайтек Хелтскер, Индия
"Харбин Фармасьютикал Групп Ко. для ""Новахим Индастриз Лтд"", Китай/Великобритания"
Харьковский автогенный завод, ЧАО, г.,Харьков, Украина
Харьковский областной центр службы крови, КЗОЗ, Украина
Хау Зинг, Вьетнам
"Хаупт Фарма Латина С.р.л. для ""Профарма Интернешнл Трейдинг Лтд"", Италия/Мальта"
"Хаупт Фарма Латина С.р.л. для ""Пфайзер Инк."", Италия/США"
Хаупт Фарма Мюнстер ГмбХ, Германия
"Хеверт Арцнаймиттел ГмбХ и Ко. КГ для ""Квайсер Фарма ГмбХ и Ко. КГ"", Германия"
Хеверт Арцнаймиттель ГмбХ & Ко. КГ, Германия
"Хелп С.А. для ""Профарма Интернешнл Трейд."", Греция/Мальта"
"Хелп С.А. для ""Тева Фармацевтикал Индастриз Лтд"", Греция/Израиль"
Хелп С.А., Греция
Хелсинн Бирекс Фармасьютикалз Лтд, Ирландия
Хеминова Интернасиональ С.A., Испания
Хемофарм АД, Сербия
Хендок Фармасьютикалс Ко. Лтд., Корея
Хербапекс (групп) Ко. Лтд., Китай
Хербион Пакистан Прайвет Лтд, Пакистан
"Херкель Б.В. для ""Натур Продукт Европа Б.В."", Нидерланды"
Херсонский областной центр службы крови, КУ, Украина
"Хефасаар ХФФ, ГмбХ для ""МИП Фарма ГмбХ"", Германия"
Хефасаар, ХФФ, ГмбХ, Германия
"Хикма Италия С.П.А для ""МИП Фарма ГмбХ"", Италия/Германия"
Хималая Драг Компани, Индия
Химический завод им. Л. Я. Карпова, ОАО, Российская Федерация (Республика Татарстан)
Химреактивкомплект, Завод, ОАО, Российская Федерация
Химфарм, АО, Республика Казахстан
"Хиноин, ЗФХП для ""Санофи-Авентис Украина, ООО"", Венгрия/Украина"
Хмельницкая областная станция переливания крови, Украина
Хомвиора Арцнаймиттель, Германия
"Хоспира С.П.А. для ""Аббот С.п.А."", Италия/Швейцария"
"Хоспира ЮК Лтд для ""Алвоген ИПКО С.АР.Л"", Большая Британия/Люксембург"
"Хр. Хансен А/С, для ""Лаб. Майоли Спиндлер"", Дания/Франция"
Хубей Гуандзи Фармасьютикал Ко., Лтд, Китай
Хугель, Инк., Корея
"Ц.Р.М. КонтрактФарма ГмбХ для ""Берингер Ингельхайм Интерн. ГмбХ"", Германия"
Цвитень, ПВ ЗАО, г.Днепропетровск, Украина
ЦДМ Лявуазье, Франция
Центр Генной Инженерии и Биотехнологии (ЦГИБ), Республика Куба
Центр крови, КУ, Украина
Цесра Арцнаймиттель ГмбХ и Ко. КГ, Германия
Цефак КГ, Германия
"Циндеа Фарма, С.Л. для ""Наари АГ"", Испания/Швейцария"
Ципла Лтд, Индия
Цисин Лтд, ФК, Китай
Цитомед, МБНПК, ЗАО, Российская Федерация
Чарак Фарма Пвт. Лтд., Индия
Черкасская областная станция переливания крови, Украина
Черкассы-Фарма, ДП, ООО, г.Черкассы, Украина
Черниговская областная станция переливания крови, КЗ, Украина
Черниговская ФФ, ООО, г.Чернигов, Украина
Черниговское Химволокно, ПАО, г.Чернигов, Украина
Черновицкий областной центр службы крови, КЗ, Украина
Чунгвае Фарма, Корея
Шаанкси Хаитян Фарма, Китай
"Шайер Хьюмен Дженетик Терапис АБ для ""Шайер АГ"", Швеция/США/Швейцария"
"Шанель Медикал для ""Хойманн Фарма ГмбХ Унд Ко, ООО"", Ирландия/Германия"
"Шанель Медикал для ""Эрсель Фарма Украина, ООО"", Ирландия/Украина"
Шанта Биотехникс Лтд., Индия
Шанхай Хулиан Фарма, Китай
Шапер & Брюммер ГмбХ & Ко. КГ, Германия
Шебо Биотек АГ, Германия
Шенджен Нептунус Интерлонг, Китай
"Шенджен Текдоу Фарма для ""Новахим Индастриз Лтд"" Китай/Великобритания"
Шеньчжень Ваньхе Фармасьютикал Ко., Лтд, Китай
Шеньян Саншайн Фарма Ко. Лтд., Китай
"Шерер ГмбХ & Ко. КГ для ""Берлин-Хеми АГ (Менарини Групп)"", Германия"
"Шерер ГмбХ & Ко. КГ для ""Мефа Лтд."", Германия/Швейцария"
"Шерер ГмбХ & Ко. КГ для ""Новартис Фарма АГ"", Германия/Швейцария"
Шерер ГмбХ & Ко. КГ, Германия
Шеринг-Плау Лабо Н.В., Бельгия
Шеринг-Плау Сентрал Ист АГ, Швейцария
Шионоги энд Ко Лтд, Япония
Шияжуанг Греат Фармасьютикалс Ко., Лтд., Китай
Шовен Анкерфарм ГмбХ, Германия
"Шпириг Фарма АГ для ""Дельта Медикел Промоушнз АГ"", Швейцария"
"Шречем Фармасьютикалс Пвт. Лтд, для ""Оксифарм, ООО"", Индия/Украина"
Шрея Лайф Саенсиз Пвт. Лтд., Индия
Штайгервальд Арцнаймиттельверк ГмбХ, Германия
Шюльке и Майр ГмбХ, Германия
Югоремедия, Сербия и Черногория
Югтехгаз, ОАО, Одесская обл., Котовский р-н, ст. Борщи, Украина
Юмедика Лабораториз Пвт. Лтд., Индия
"Юник Фармасьютикал Лабораториз для ""Джонсон & Джонсон, ООО"", Индия/Украина"
Юник Фармасьютикал Лабораториз, Индия
Юникем Лабораториз Лтд., Индия
"Юнимакс Лаб. для ""Америкен Нортон Корпорейшн"", Индия/США"
"Юнимакс Лаб. для ""М-Инвест Лтд"", Индия/Кипр"
"Юнимакс Лаб./Мепро Фарм. Пвт. для ""Америкен Нортон Корпорейшн"", Индия/США"
"Юнимакс Лаб./Мепро Фарм. Пвт. для ""Мили Хелскер Лтд"", Индия/Великобритания"
"Юнимакс Лаб./Темис Медикаре Лтд. для ""Мили Хелскер Лтд"", Индия/Великобритания"
"Юнитер Ликвид Мануфекчуринг для ""Санофи-Авентис Украина, ООО"", Франция/Украина"
Юнифарм, Инк., США
Юрия-Фарм, ООО, г.Киев, Украина
"ЮС Фармация, ООО для "" Юнилаб ЛП"", Польша/США"
ЮСБ Фарма С.А., Бельгия
ЮСБ Фаршим С.А., Швейцария
ЮСБ Хелскер, Франция
ЮСВ Лтд., Индия
Ядран Галенская Лаборатория д.д, Хорватия
Яманучи , Нидерланды
"Янссен Силаг С.п.А. для ""МакНил Продактс Лтд"", Франция/Соединенное Королевство"
"Янссен Силаг С.п.А./Каталент ЮК для ""МакНил Продактс"", Италия/Большая Британия"
"Янссен Фармацевтика Н.В. для ""МакНил Продактс Лтд"", Бельгия/Соединенное Королевство"
Янссен Фармацевтика Н.В./Джонсон & Джонсон, ООО, Бельгия/Российская Федерация
Янссен-Силаг С.п.А./Джонсон & Джонсон, ООО, Италия/Российская Федерация
Янссен-Силаг С.п.А./Янссен Фармацевтика Н.В., Италия/Бельгия
